id,username,hashed_password,role,is_manager
1,manager_orders,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
2,regular_orders,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,user,False
3,manager_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
4,regular_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,user,False
5,manager_empty_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
6,manager_orders,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
7,regular_orders,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,user,False
8,manager_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
9,regular_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,user,False
10,manager_empty_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
11,manager_orders,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
12,regular_orders,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,user,False
13,manager_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
14,regular_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,user,False
15,manager_empty_failed,c1b8b58c3e7ac442b525e87709d5c1aef49a5d5acb70551be645887a978e238a,manager,True
